id,Name,From,To,Height,Weight,Age,Year,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TmWin%,score2
adamsmi01,Michael Adams,1986,1996,177.8,73.48196394,27.0,1990,DEN,NBA,PG,79,74.0,34.1,5.0,12.5,0.402,2.0,5.5,0.366,3.0,7.1,0.431,0.482,3.4,4.0,0.85,0.6,2.2,2.8,6.3,1.5,0.0,1.8,1.7,15.5,52.400000000000006,15.224481201190072
adamsst01,Steven Adams,2014,2022,210.82,120.20197805000001,20.0,2014,OKC,NBA,C,81,20.0,14.8,1.1,2.3,0.503,0.0,0.0,0.0,1.1,2.3,0.503,0.503,1.0,1.7,0.581,1.8,2.3,4.1,0.5,0.5,0.7,0.9,2.5,3.3,72.0,3.623710699617539
adamsst01,Steven Adams,2014,2022,210.82,120.20197805000001,21.0,2015,OKC,NBA,C,70,67.0,25.3,3.1,5.7,0.544,0.0,0.0,0.0,3.1,5.7,0.547,0.544,1.5,2.9,0.502,2.8,4.6,7.5,0.9,0.5,1.2,1.4,3.2,7.7,54.900000000000006,7.482569009006472
adamsst01,Steven Adams,2014,2022,210.82,120.20197805000001,22.0,2016,OKC,NBA,C,80,80.0,25.2,3.3,5.3,0.613,0.0,0.0,0.0,3.3,5.3,0.613,0.613,1.4,2.5,0.582,2.7,3.9,6.7,0.8,0.5,1.1,1.1,2.8,8.0,67.10000000000001,7.964292141242712
adamsst01,Steven Adams,2014,2022,210.82,120.20197805000001,23.0,2017,OKC,NBA,C,80,80.0,29.9,4.7,8.2,0.571,0.0,0.0,0.0,4.7,8.2,0.572,0.571,2.0,3.2,0.611,3.5,4.2,7.7,1.1,1.1,1.0,1.8,2.4,11.3,57.3,10.393895460680694
adamsst01,Steven Adams,2014,2022,210.82,120.20197805000001,24.0,2018,OKC,NBA,C,76,76.0,32.7,5.9,9.4,0.629,0.0,0.0,0.0,5.9,9.3,0.631,0.629,2.1,3.8,0.559,5.1,4.0,9.0,1.2,1.2,1.0,1.7,2.8,13.9,58.5,13.253738087649197
adamsst01,Steven Adams,2014,2022,210.82,120.20197805000001,25.0,2019,OKC,NBA,C,80,80.0,33.4,6.0,10.1,0.595,0.0,0.0,0.0,6.0,10.1,0.596,0.595,1.8,3.7,0.5,4.9,4.6,9.5,1.6,1.5,1.0,1.7,2.6,13.9,59.8,13.351831053416316
adamsst01,Steven Adams,2014,2022,210.82,120.20197805000001,26.0,2020,OKC,NBA,C,63,63.0,26.7,4.5,7.6,0.592,0.0,0.0,0.333,4.5,7.5,0.594,0.593,1.9,3.2,0.582,3.3,6.0,9.3,2.3,0.8,1.1,1.5,1.9,10.9,61.1,12.012621221599204
adamsst01,Steven Adams,2014,2022,210.82,120.20197805000001,28.0,2022,MEM,NBA,C,49,48.0,26.1,2.5,4.9,0.519,0.0,0.0,0.0,2.5,4.9,0.519,0.519,1.5,2.7,0.573,4.3,5.1,9.4,3.0,1.0,0.7,1.6,1.7,6.6,66.0,9.912120687127882
adrieje01,Jeff Adrien,2011,2015,200.66,111.13013065000001,27.0,2014,TOT,NBA,PF,53,12.0,18.1,2.7,5.2,0.52,0.0,0.0,0.0,2.7,5.2,0.52,0.52,1.4,2.2,0.639,1.9,3.8,5.8,0.7,0.5,0.7,0.7,2.0,6.8,48.0,6.444163186047489
addisra01,Rafael Addison,1987,1997,200.66,97.52235955,27.0,1992,NJN,NBA,SF,76,8.0,15.5,2.5,5.7,0.433,0.2,0.6,0.286,2.3,5.0,0.452,0.449,0.7,1.0,0.737,0.9,1.3,2.2,0.9,0.4,0.4,0.6,1.4,5.8,48.8,4.487393273764571
addisra01,Rafael Addison,1987,1997,200.66,97.52235955,28.0,1993,NJN,NBA,SF,68,15.0,17.1,2.7,6.0,0.443,0.1,0.5,0.206,2.6,5.5,0.464,0.451,0.8,1.0,0.814,0.7,1.3,1.9,0.8,0.3,0.2,0.9,1.8,6.3,52.400000000000006,4.426217826856524
addisra01,Rafael Addison,1987,1997,200.66,97.52235955,31.0,1996,CHH,NBA,SF,53,0.0,9.7,1.5,3.1,0.467,0.0,0.2,0.0,1.5,2.9,0.494,0.467,0.3,0.4,0.773,0.5,1.2,1.7,0.6,0.2,0.2,0.5,1.4,3.2,50.0,2.8266993185770186
addisra01,Rafael Addison,1987,1997,200.66,97.52235955,32.0,1997,CHH,NBA,SF,41,3.0,8.7,1.2,3.0,0.402,0.2,0.5,0.4,1.0,2.5,0.402,0.434,0.5,0.7,0.786,0.5,0.6,1.1,0.8,0.2,0.1,0.4,1.3,3.1,65.9,2.615979127023998
afflaar01,Arron Afflalo,2008,2018,195.57999999999998,95.2543977,22.0,2008,DET,NBA,SG,75,9.0,12.9,1.3,3.2,0.411,0.1,0.6,0.208,1.2,2.6,0.461,0.432,0.9,1.2,0.782,0.5,1.3,1.8,0.7,0.4,0.1,0.5,1.1,3.7,72.0,3.2005128244475314
afflaar01,Arron Afflalo,2008,2018,195.57999999999998,95.2543977,24.0,2010,DEN,NBA,SG,82,75.0,27.1,3.3,7.1,0.465,1.3,3.0,0.434,2.0,4.1,0.488,0.557,0.9,1.2,0.735,0.7,2.4,3.1,1.7,0.6,0.4,0.9,2.7,8.8,64.60000000000001,7.082324508343808
afflaar01,Arron Afflalo,2008,2018,195.57999999999998,95.2543977,25.0,2011,DEN,NBA,SG,69,69.0,33.7,4.5,9.1,0.498,1.5,3.6,0.423,3.0,5.5,0.546,0.581,2.0,2.4,0.847,0.7,3.0,3.6,2.4,0.5,0.4,1.0,2.2,12.6,61.0,10.488720489798808
afflaar01,Arron Afflalo,2008,2018,195.57999999999998,95.2543977,26.0,2012,DEN,NBA,SG,62,62.0,33.6,5.3,11.3,0.471,1.4,3.6,0.398,3.9,7.7,0.504,0.534,3.2,4.0,0.798,0.6,2.5,3.2,2.4,0.6,0.2,1.4,2.2,15.2,57.6,11.398871238866247
afflaar01,Arron Afflalo,2008,2018,195.57999999999998,95.2543977,29.0,2015,TOT,NBA,SG,78,72.0,32.1,4.8,11.3,0.424,1.5,4.3,0.354,3.3,7.1,0.466,0.491,2.1,2.5,0.843,0.3,2.8,3.2,1.7,0.5,0.1,1.5,2.1,13.3,48.0,8.774499258375394
aguirma01,Mark Aguirre,1982,1994,198.12,105.23342984,24.0,1984,DAL,NBA,SF,79,79.0,36.7,11.7,22.3,0.524,0.2,0.7,0.268,11.5,21.6,0.532,0.528,5.9,7.9,0.749,2.0,3.9,5.9,4.5,1.0,0.3,3.6,3.1,29.5,52.400000000000006,22.499547140246325
aguirma01,Mark Aguirre,1982,1994,198.12,105.23342984,25.0,1985,DAL,NBA,SF,80,79.0,33.7,9.9,19.6,0.506,0.3,1.1,0.318,9.6,18.6,0.517,0.515,5.5,7.3,0.759,2.4,3.6,6.0,3.1,0.8,0.3,3.2,3.1,25.7,53.7,18.744129255159475
aguirma01,Mark Aguirre,1982,1994,198.12,105.23342984,26.0,1986,DAL,NBA,SF,74,73.0,33.8,9.0,17.9,0.503,0.2,0.8,0.286,8.8,17.2,0.513,0.509,4.3,6.1,0.705,2.4,3.6,6.0,4.6,0.8,0.2,3.4,3.1,22.6,53.7,18.091645189460596
aguirma01,Mark Aguirre,1982,1994,198.12,105.23342984,27.0,1987,DAL,NBA,SF,80,80.0,33.3,9.8,19.9,0.495,0.7,1.9,0.353,9.2,18.0,0.51,0.512,5.4,7.0,0.77,2.3,3.1,5.3,3.2,1.1,0.4,2.7,3.0,25.7,67.10000000000001,18.953361160539774
aguirma01,Mark Aguirre,1982,1994,198.12,105.23342984,28.0,1988,DAL,NBA,SF,77,77.0,33.9,9.7,20.4,0.475,0.7,2.2,0.302,9.0,18.2,0.496,0.491,5.0,6.5,0.77,2.4,3.3,5.6,3.6,0.9,0.7,2.6,2.9,25.1,64.60000000000001,18.62162604634739
aguirma01,Mark Aguirre,1982,1994,198.12,105.23342984,29.0,1989,TOT,NBA,SF,80,76.0,32.5,7.3,15.9,0.461,0.6,2.2,0.293,6.7,13.7,0.488,0.481,3.6,4.9,0.733,1.8,3.0,4.8,3.5,0.6,0.5,2.6,2.9,18.9,48.0,14.28005862349993
aguirma01,Mark Aguirre,1982,1994,198.12,105.23342984,30.0,1990,DET,NBA,SF,78,40.0,25.7,5.6,11.5,0.488,0.4,1.2,0.333,5.2,10.3,0.506,0.505,2.5,3.3,0.756,1.5,2.4,3.9,1.9,0.4,0.2,1.6,2.6,14.1,72.0,10.426795164270573
aguirma01,Mark Aguirre,1982,1994,198.12,105.23342984,31.0,1991,DET,NBA,SF,78,13.0,25.7,5.4,11.7,0.462,0.3,1.0,0.308,5.1,10.7,0.477,0.475,3.1,4.1,0.757,1.7,3.1,4.8,1.8,0.6,0.3,1.6,2.7,14.2,61.0,10.665173164696752
aguirma01,Mark Aguirre,1982,1994,198.12,105.23342984,32.0,1992,DET,NBA,SF,75,12.0,21.1,4.5,10.5,0.431,0.2,0.9,0.211,4.3,9.5,0.453,0.44,2.1,3.1,0.687,0.9,2.3,3.1,1.7,0.7,0.1,1.4,2.3,11.3,58.5,8.054055176295709
aguirma01,Mark Aguirre,1982,1994,198.12,105.23342984,33.0,1993,DET,NBA,SF,51,15.0,20.7,3.7,8.3,0.443,0.6,1.6,0.361,3.1,6.6,0.463,0.479,1.9,2.5,0.767,0.8,2.1,3.0,2.1,0.3,0.1,1.3,2.0,9.9,48.8,7.753072197163995
ajincal01,Alexis Ajinça,2009,2017,218.44000000000003,112.49090776,26.0,2015,NOP,NBA,C,68,8.0,14.1,2.7,4.8,0.55,0.0,0.0,0.0,2.7,4.8,0.55,0.55,1.2,1.5,0.818,1.5,3.1,4.6,0.7,0.3,0.8,1.0,2.2,6.5,54.900000000000006,6.0875155687484135
alarima01,Mark Alarie,1987,1991,203.2,98.42954429000001,25.0,1989,WSB,NBA,PF,74,5.0,15.4,2.8,5.8,0.478,0.2,0.5,0.342,2.6,5.3,0.491,0.493,1.0,1.2,0.839,1.4,2.1,3.4,0.9,0.3,0.3,0.8,2.2,6.7,48.8,5.6154318064170585
aingeda01,Danny Ainge,1982,1995,193.04,79.37866475,22.0,1982,BOS,NBA,SG,53,1.0,10.6,1.5,4.2,0.357,0.1,0.3,0.294,1.4,3.8,0.363,0.369,1.1,1.2,0.862,0.5,0.6,1.1,1.6,0.7,0.1,1.0,1.6,4.1,76.8,4.041618604503154
aingeda01,Danny Ainge,1982,1995,193.04,79.37866475,23.0,1983,BOS,NBA,SG,80,76.0,25.6,4.5,9.0,0.496,0.1,0.4,0.172,4.4,8.6,0.509,0.499,0.9,1.2,0.742,1.0,1.6,2.7,3.1,1.4,0.1,1.2,3.2,9.9,68.30000000000001,9.555718207186572
aingeda01,Danny Ainge,1982,1995,193.04,79.37866475,24.0,1984,BOS,NBA,SG,71,3.0,16.3,2.3,5.1,0.46,0.1,0.3,0.273,2.3,4.8,0.472,0.468,0.6,0.8,0.821,0.4,1.2,1.6,2.3,0.6,0.1,1.0,2.0,5.4,75.6,5.578039190297555
aingeda01,Danny Ainge,1982,1995,193.04,79.37866475,25.0,1985,BOS,NBA,SG,75,73.0,34.2,5.6,10.6,0.529,0.2,0.7,0.268,5.4,9.8,0.549,0.539,1.6,1.8,0.868,1.0,2.6,3.6,5.3,1.6,0.1,2.0,3.0,12.9,76.8,14.216452207513978
aingeda01,Danny Ainge,1982,1995,193.04,79.37866475,26.0,1986,BOS,NBA,SG,80,78.0,30.1,4.4,8.8,0.504,0.3,0.9,0.356,4.1,7.9,0.521,0.522,1.5,1.7,0.904,0.6,2.4,2.9,5.1,1.2,0.1,1.6,2.6,10.7,81.69999999999999,12.239889453953142
aingeda01,Danny Ainge,1982,1995,193.04,79.37866475,27.0,1987,BOS,NBA,SG,71,66.0,35.2,5.8,11.9,0.486,1.2,2.7,0.443,4.6,9.2,0.498,0.536,2.1,2.3,0.897,0.7,2.7,3.4,5.6,1.4,0.2,2.0,2.7,14.8,72.0,14.943098402581928
aingeda01,Danny Ainge,1982,1995,193.04,79.37866475,28.0,1988,BOS,NBA,SG,81,81.0,37.3,6.0,12.1,0.491,1.8,4.4,0.415,4.1,7.7,0.534,0.566,2.0,2.2,0.878,0.7,2.3,3.1,6.2,1.4,0.2,1.9,2.5,15.7,69.5,15.833057610630616
aingeda01,Danny Ainge,1982,1995,193.04,79.37866475,29.0,1989,TOT,NBA,PG,73,54.0,32.6,6.6,14.4,0.457,1.6,4.2,0.38,5.0,10.2,0.488,0.512,2.8,3.3,0.854,1.0,2.5,3.5,5.5,1.3,0.1,2.0,2.5,17.5,48.0,15.876560904098111
aingeda01,Danny Ainge,1982,1995,193.04,79.37866475,31.0,1991,POR,NBA,SG,80,0.0,21.4,4.2,8.9,0.472,1.3,3.1,0.406,2.9,5.8,0.508,0.543,1.4,1.7,0.826,0.6,2.0,2.6,3.6,0.8,0.2,1.3,2.4,11.1,76.8,10.213729093532153
aingeda01,Danny Ainge,1982,1995,193.04,79.37866475,32.0,1992,POR,NBA,SG,81,6.0,19.7,3.7,8.3,0.442,1.0,2.8,0.339,2.7,5.5,0.496,0.5,1.3,1.6,0.824,0.5,1.3,1.8,2.5,0.9,0.2,0.9,1.8,9.7,69.5,8.094776315322777
aingeda01,Danny Ainge,1982,1995,193.04,79.37866475,33.0,1993,PHO,NBA,SG,80,0.0,27.0,4.2,9.1,0.462,1.9,4.7,0.403,2.3,4.5,0.522,0.564,1.5,1.8,0.848,0.6,2.1,2.7,3.3,0.9,0.1,1.4,2.2,11.8,75.6,10.186777218726558
