id,Name,From,To,Height,Weight,Age,Year,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,score2
addisra01,Rafael Addison,1987,1997,200.66,97.52235955,28.0,1993,NJN,NBA,SF,5,0.0,10.6,1.4,4.2,0.333,0.0,0.0,0.0,1.4,4.2,0.333,0.333,0.6,0.6,1.0,0.6,0.6,1.2,1.0,0.6,0.0,0.6,0.6,3.4,3.046113208268638
agerma01,Maurice Ager,2007,2011,195.57999999999998,91.62565874,22.0,2007,DAL,NBA,SG,3,0.0,8.0,1.7,3.0,0.556,0.7,1.0,0.667,1.0,2.0,0.5,0.667,1.0,2.0,0.5,0.3,0.7,1.0,0.0,0.0,0.0,0.0,1.0,5.0,3.78004035794903
afflaar01,Arron Afflalo,2008,2018,195.57999999999998,95.2543977,22.0,2008,DET,NBA,SG,12,0.0,7.0,0.6,1.5,0.389,0.0,0.2,0.0,0.6,1.3,0.438,0.389,0.0,0.0,0.0,0.0,0.4,0.4,0.5,0.3,0.0,0.1,0.4,1.2,1.278034903979003
afflaar01,Arron Afflalo,2008,2018,195.57999999999998,95.2543977,23.0,2009,DET,NBA,SG,4,0.0,16.5,2.5,5.3,0.476,0.5,2.5,0.2,2.0,2.8,0.727,0.524,0.8,1.3,0.6,0.3,0.5,0.8,0.3,0.0,0.5,0.8,2.3,6.3,4.208662008597168
afflaar01,Arron Afflalo,2008,2018,195.57999999999998,95.2543977,24.0,2010,DEN,NBA,SG,6,6.0,20.0,3.3,5.3,0.625,1.0,2.3,0.429,2.3,3.0,0.778,0.719,1.5,1.8,0.818,0.2,1.8,2.0,1.2,0.2,0.3,0.7,3.5,9.2,7.82269619695437
afflaar01,Arron Afflalo,2008,2018,195.57999999999998,95.2543977,25.0,2011,DEN,NBA,SG,3,3.0,28.3,4.0,11.3,0.353,1.0,4.0,0.25,3.0,7.3,0.409,0.397,2.3,2.7,0.875,0.0,3.0,3.0,2.3,0.0,0.0,1.0,3.3,11.3,8.11483290396063
afflaar01,Arron Afflalo,2008,2018,195.57999999999998,95.2543977,26.0,2012,DEN,NBA,SG,7,7.0,32.7,4.3,10.6,0.405,0.6,2.9,0.2,3.7,7.7,0.481,0.432,1.7,2.1,0.8,0.7,2.9,3.6,2.7,0.7,0.3,1.3,2.0,10.9,9.121048831010908
afflaar01,Arron Afflalo,2008,2018,195.57999999999998,95.2543977,29.0,2015,POR,NBA,SG,3,3.0,20.0,0.7,4.0,0.167,0.3,1.3,0.25,0.3,2.7,0.125,0.208,0.0,0.3,0.0,0.0,2.3,2.3,0.7,0.0,0.0,1.0,2.0,1.7,1.264513588099359
aguirma01,Mark Aguirre,1982,1994,198.12,105.23342984,24.0,1984,DAL,NBA,SF,10,0.0,35.0,8.8,18.4,0.478,0.0,0.5,0.0,8.8,17.9,0.492,0.478,4.4,5.7,0.772,2.1,5.5,7.6,3.2,0.5,0.5,2.7,3.4,22.0,17.0934705645743
aguirma01,Mark Aguirre,1982,1994,198.12,105.23342984,25.0,1985,DAL,NBA,SF,4,4.0,41.0,11.0,22.3,0.494,0.3,0.5,0.5,10.8,21.8,0.494,0.5,6.8,8.0,0.844,4.0,3.5,7.5,4.0,0.8,0.0,3.8,4.0,29.0,22.512639537585642
