,id,Name,From,To,Height,Weight,Age,Year,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,score2
6843,webbsp01,Spud Webb,1986,1998,167.64,60.32778521,23.0,1987,ATL,NBA,PG,8,1.0,15.3,1.1,2.4,0.474,0.0,0.1,0.0,1.1,2.3,0.5,0.474,1.6,2.1,0.765,0.1,0.9,1.0,4.8,0.8,0.0,2.3,1.3,3.9,5.310908093940948
6844,webbsp01,Spud Webb,1986,1998,167.64,60.32778521,24.0,1988,ATL,NBA,PG,12,0.0,17.6,2.9,6.8,0.432,0.2,0.7,0.25,2.8,6.1,0.452,0.444,2.8,3.1,0.919,0.3,1.3,1.7,4.7,0.8,0.0,0.8,1.8,8.8,9.09798220244359
6845,webbsp01,Spud Webb,1986,1998,167.64,60.32778521,25.0,1989,ATL,NBA,PG,5,0.0,11.0,0.6,2.2,0.273,0.0,0.0,0.0,0.6,2.2,0.273,0.273,0.4,0.4,1.0,0.0,0.8,0.8,3.0,0.8,0.0,0.0,1.2,1.6,3.4706294501775035
6846,webbsp01,Spud Webb,1986,1998,167.64,60.32778521,27.0,1991,ATL,NBA,PG,5,5.0,30.8,5.0,11.4,0.439,1.0,2.4,0.417,4.0,9.0,0.444,0.482,2.2,3.2,0.688,1.6,2.8,4.4,4.8,1.4,0.2,2.6,2.6,13.2,10.700173306103853
6847,webbech01,Chris Webber,1994,2008,205.74,111.13013065,20.0,1994,GSW,NBA,C,3,3.0,36.3,7.3,13.3,0.55,0.0,0.7,0.0,7.3,12.7,0.579,0.55,1.0,3.3,0.3,4.3,4.3,8.7,9.0,1.0,3.0,3.0,3.7,15.7,17.835018113434174
6848,webbech01,Chris Webber,1994,2008,205.74,111.13013065,23.0,1997,WSB,NBA,PF,3,3.0,35.3,6.3,10.0,0.633,1.7,3.7,0.455,4.7,6.3,0.737,0.717,1.3,2.7,0.5,2.3,5.7,8.0,3.3,0.7,2.3,5.3,6.0,15.7,13.126911757970197
6849,webbech01,Chris Webber,1994,2008,205.74,111.13013065,25.0,1999,SAC,NBA,PF,5,5.0,38.4,6.2,16.0,0.388,0.4,1.4,0.286,5.8,14.6,0.397,0.4,2.0,5.0,0.4,2.6,6.8,9.4,4.0,1.8,1.0,4.0,4.0,14.8,10.855073366123507
6850,webbech01,Chris Webber,1994,2008,205.74,111.13013065,26.0,2000,SAC,NBA,PF,5,5.0,39.2,9.4,22.0,0.427,0.2,1.0,0.2,9.2,21.0,0.438,0.432,5.4,6.8,0.794,2.8,6.8,9.6,5.4,1.6,2.0,1.6,2.8,24.4,19.881397508272627
6851,webbech01,Chris Webber,1994,2008,205.74,111.13013065,27.0,2001,SAC,NBA,PF,8,8.0,43.5,9.5,24.5,0.388,0.0,0.1,0.0,9.5,24.4,0.39,0.388,4.3,6.1,0.694,4.3,7.3,11.5,3.1,1.1,1.0,3.9,3.6,23.3,15.470434031138787
6852,webbech01,Chris Webber,1994,2008,205.74,111.13013065,28.0,2002,SAC,NBA,PF,16,16.0,41.7,10.0,19.9,0.502,0.0,0.3,0.0,10.0,19.7,0.508,0.502,3.7,6.2,0.596,3.1,7.8,10.8,4.7,0.9,1.6,2.9,4.0,23.7,18.69133007998668
6853,webbech01,Chris Webber,1994,2008,205.74,111.13013065,29.0,2003,SAC,NBA,PF,7,7.0,35.1,9.6,19.3,0.496,0.0,0.4,0.0,9.6,18.9,0.508,0.496,4.6,7.0,0.653,2.6,5.7,8.3,3.6,1.4,1.1,3.3,3.6,23.7,17.41477051534821
6854,webbech01,Chris Webber,1994,2008,205.74,111.13013065,30.0,2004,SAC,NBA,PF,12,12.0,37.2,7.5,16.6,0.452,0.1,0.3,0.25,7.4,16.3,0.456,0.455,3.3,5.4,0.615,2.0,6.3,8.3,3.7,1.3,0.8,3.2,2.8,18.4,13.450111444034924
6855,webbech01,Chris Webber,1994,2008,205.74,111.13013065,31.0,2005,PHI,NBA,PF,5,5.0,37.2,7.8,19.0,0.411,1.0,2.8,0.357,6.8,16.2,0.42,0.437,2.4,3.2,0.75,2.4,3.4,5.8,2.8,1.2,0.2,2.2,4.0,19.0,12.175793866070467
6856,webbech01,Chris Webber,1994,2008,205.74,111.13013065,33.0,2007,DET,NBA,PF,16,16.0,25.3,4.1,7.9,0.524,0.0,0.1,0.0,4.1,7.8,0.528,0.524,1.6,3.1,0.531,2.3,4.0,6.3,1.5,0.9,0.6,1.6,3.2,9.9,8.202795913632016
6857,webstma01,Marvin Webster,1976,1987,215.9,102.05828325,25.0,1978,SEA,NBA,C,22,0.0,41.1,6.2,12.7,0.489,0.0,0.0,0.0,6.2,12.7,0.489,0.489,3.7,5.5,0.675,4.3,8.8,13.1,2.6,0.3,2.6,3.4,3.5,16.1,13.869735786929581
6858,webstma01,Marvin Webster,1976,1987,215.9,102.05828325,30.0,1983,NYK,NBA,C,6,0.0,19.2,1.2,3.0,0.389,0.0,0.0,0.0,1.2,3.0,0.389,0.389,2.3,3.7,0.636,2.2,2.5,4.7,0.5,0.0,1.2,0.7,3.0,4.7,4.3275431986976525
6859,webstma01,Marvin Webster,1976,1987,215.9,102.05828325,31.0,1984,NYK,NBA,C,12,0.0,17.0,1.2,2.4,0.483,0.0,0.0,0.0,1.2,2.4,0.483,0.483,0.8,1.3,0.6,2.0,2.7,4.7,0.3,0.3,1.4,0.2,2.7,3.1,3.959475462068987
6860,webstma02,Martell Webster,2006,2015,200.66,104.3262451,23.0,2010,POR,NBA,SF,6,0.0,25.3,3.7,8.7,0.423,0.8,2.8,0.294,2.8,5.8,0.486,0.471,1.7,3.0,0.556,1.2,3.2,4.3,0.7,0.8,0.5,0.5,2.2,9.8,6.574535018381516
6861,webstma02,Martell Webster,2006,2015,200.66,104.3262451,27.0,2014,WAS,NBA,SF,11,0.0,17.7,1.4,3.7,0.366,0.5,2.4,0.231,0.8,1.4,0.6,0.439,0.5,0.8,0.667,0.4,1.9,2.3,0.5,0.4,0.5,0.4,1.3,3.8,2.821154620799108
6862,wedmasc01,Scott Wedman,1975,1987,200.66,97.52235955,26.0,1979,KCK,NBA,SF,5,0.0,34.8,7.2,15.6,0.462,0.0,0.0,0.0,7.2,15.6,0.462,0.462,4.8,6.4,0.75,2.6,4.8,7.4,1.8,1.8,0.6,2.8,3.6,19.2,13.708459087305046
6863,wedmasc01,Scott Wedman,1975,1987,200.66,97.52235955,27.0,1980,KCK,NBA,SF,3,0.0,38.7,9.7,21.3,0.453,0.7,1.0,0.667,9.0,20.3,0.443,0.469,2.7,3.7,0.727,2.0,5.0,7.0,3.0,0.3,1.0,0.7,3.0,22.7,15.81071030262058
6864,wedmasc01,Scott Wedman,1975,1987,200.66,97.52235955,28.0,1981,KCK,NBA,SF,15,0.0,43.8,8.6,19.8,0.434,0.6,2.1,0.281,8.0,17.7,0.453,0.449,2.7,3.7,0.714,1.1,4.7,5.8,3.9,1.2,0.5,2.6,3.4,20.5,13.737647583046098
6865,wedmasc01,Scott Wedman,1975,1987,200.66,97.52235955,30.0,1983,BOS,NBA,SF,6,0.0,11.0,2.3,4.0,0.583,0.0,0.3,0.0,2.3,3.7,0.636,0.583,0.2,0.3,0.5,0.5,1.8,2.3,0.0,0.2,0.0,0.7,1.8,4.8,3.8960886762363165
6866,wedmasc01,Scott Wedman,1975,1987,200.66,97.52235955,31.0,1984,BOS,NBA,SF,17,0.0,13.3,2.4,5.6,0.417,0.2,0.4,0.571,2.1,5.2,0.404,0.438,0.3,0.6,0.5,1.4,1.4,2.8,1.0,0.4,0.0,0.8,1.1,5.2,3.7318744965616033
6867,wedmasc01,Scott Wedman,1975,1987,200.66,97.52235955,32.0,1985,BOS,NBA,SF,21,1.0,16.7,3.5,6.4,0.545,0.5,1.0,0.455,3.0,5.3,0.563,0.582,1.2,1.8,0.684,1.0,1.8,2.8,1.6,0.6,0.0,0.6,2.4,8.7,6.985394767956078
6868,wedmasc01,Scott Wedman,1975,1987,200.66,97.52235955,33.0,1986,BOS,NBA,SF,12,0.0,11.8,1.7,4.3,0.392,0.2,0.3,0.5,1.5,3.9,0.383,0.412,0.3,0.3,0.75,0.9,0.9,1.8,0.7,0.8,0.3,0.5,1.2,3.8,3.0207090637429457
6869,welpch01,Chris Welp,1988,1990,213.36,111.13013065,25.0,1989,PHI,NBA,C,3,0.0,7.3,0.3,1.0,0.333,0.0,0.0,0.0,0.3,1.0,0.333,0.333,0.0,0.7,0.0,0.0,2.3,2.3,0.0,0.0,0.0,0.3,2.3,0.7,1.1005610181620837
6870,welscji01,Jiří Welsch,2003,2006,200.66,94.34721296,24.0,2004,BOS,NBA,SG,4,4.0,26.0,2.8,5.8,0.478,0.3,1.0,0.25,2.5,4.8,0.526,0.5,2.3,2.3,1.0,0.0,3.0,3.0,2.3,0.5,0.0,2.0,1.8,8.0,6.9606589966320325
6871,welscji01,Jiří Welsch,2003,2006,200.66,94.34721296,26.0,2006,MIL,NBA,SF,4,0.0,3.8,0.5,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.8,1.0,0.75,0.0,0.8,0.8,0.5,0.3,0.0,0.0,0.3,1.8,1.8361005224349103
6872,wellsbo01,Bonzi Wells,1999,2008,195.58,95.2543977,23.0,2000,POR,NBA,SF,14,0.0,13.4,2.6,5.9,0.446,0.1,0.7,0.2,2.5,5.2,0.479,0.458,2.1,2.9,0.707,0.9,1.6,2.5,0.9,0.5,0.0,1.1,2.4,7.5,5.157061484632749
6873,wellsbo01,Bonzi Wells,1999,2008,195.58,95.2543977,25.0,2002,POR,NBA,SG,3,3.0,35.3,4.7,12.7,0.368,0.0,2.3,0.0,4.7,10.3,0.452,0.368,3.0,4.3,0.692,1.3,2.7,4.0,4.3,2.0,0.3,3.7,3.7,12.3,9.965954347634215
6874,wellsbo01,Bonzi Wells,1999,2008,195.58,95.2543977,26.0,2003,POR,NBA,SG,7,7.0,38.3,7.0,17.7,0.395,1.3,4.3,0.3,5.7,13.4,0.426,0.431,3.7,5.6,0.667,2.0,4.9,6.9,3.7,2.1,0.4,3.0,4.3,19.0,13.07617467518091
6875,wellsbo01,Bonzi Wells,1999,2008,195.58,95.2543977,27.0,2004,MEM,NBA,SG,4,0.0,23.5,4.8,9.3,0.514,0.0,0.3,0.0,4.8,9.0,0.528,0.514,2.3,3.5,0.643,0.5,2.5,3.0,1.0,1.0,0.3,2.3,2.0,11.8,7.643390393820215
6876,wellsbo01,Bonzi Wells,1999,2008,195.58,95.2543977,29.0,2006,SAC,NBA,SG,6,6.0,41.5,8.8,14.5,0.609,0.8,1.3,0.625,8.0,13.2,0.608,0.638,4.7,7.2,0.651,4.2,7.8,12.0,1.3,0.8,0.3,3.0,4.2,23.2,18.366346397258315
6877,wellsbo01,Bonzi Wells,1999,2008,195.58,95.2543977,31.0,2008,NOH,NBA,SG,12,0.0,14.2,1.8,4.8,0.386,0.0,0.2,0.0,1.8,4.6,0.4,0.386,0.0,0.5,0.0,0.3,2.3,2.6,0.7,0.3,0.3,0.5,2.2,3.7,2.709935765862461
6878,wennibi01,Bill Wennington,1986,2000,213.36,111.13013065,22.0,1986,DAL,NBA,C,6,0.0,3.0,0.3,1.0,0.333,0.2,0.2,1.0,0.2,0.8,0.2,0.417,0.3,0.3,1.0,0.7,0.2,0.8,0.0,0.0,0.0,0.0,0.7,1.2,1.6987143134235667
6879,wennibi01,Bill Wennington,1986,2000,213.36,111.13013065,23.0,1987,DAL,NBA,C,4,0.0,11.8,1.5,3.0,0.5,0.0,0.0,0.0,1.5,3.0,0.5,0.5,0.8,1.3,0.6,1.0,1.5,2.5,1.0,0.0,0.8,0.8,2.3,3.8,3.3264875586414173
6880,wennibi01,Bill Wennington,1986,2000,213.36,111.13013065,24.0,1988,DAL,NBA,C,6,0.0,2.3,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.7,0.2,0.2,0.0,0.2,0.8,0.0,0.6301366360059961
6881,wennibi01,Bill Wennington,1986,2000,213.36,111.13013065,26.0,1990,DAL,NBA,C,3,0.0,8.3,0.3,1.7,0.2,0.0,0.0,0.0,0.3,1.7,0.2,0.2,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.0,0.3,0.7,1.7,0.7,0.4896208129918397
6882,wennibi01,Bill Wennington,1986,2000,213.36,111.13013065,30.0,1994,CHI,NBA,C,7,0.0,6.7,0.4,0.9,0.5,0.0,0.0,0.0,0.4,0.9,0.5,0.5,0.3,0.4,0.667,0.6,0.4,1.0,0.6,0.0,0.1,0.1,2.0,1.1,1.3752946257782737
6883,wennibi01,Bill Wennington,1986,2000,213.36,111.13013065,31.0,1995,CHI,NBA,C,10,0.0,13.3,2.1,5.1,0.412,0.0,0.0,0.0,2.1,5.1,0.412,0.412,0.6,0.6,1.0,1.2,1.6,2.8,0.3,0.3,0.3,0.8,3.2,4.8,3.495898132110976
6884,wennibi01,Bill Wennington,1986,2000,213.36,111.13013065,32.0,1996,CHI,NBA,C,18,0.0,9.4,1.4,2.8,0.52,0.0,0.1,0.0,1.4,2.7,0.531,0.52,0.1,0.2,0.5,0.6,1.1,1.7,0.5,0.2,0.1,0.3,1.7,3.0,2.4497987889718056
6885,wennibi01,Bill Wennington,1986,2000,213.36,111.13013065,34.0,1998,CHI,NBA,C,16,0.0,7.4,1.3,2.4,0.526,0.0,0.0,0.0,1.3,2.4,0.526,0.526,0.3,0.5,0.5,0.2,0.7,0.9,0.2,0.4,0.1,0.5,1.4,2.8,2.1348995087416585
6886,wesleda01,David Wesley,1994,2007,182.88,86.1825503,23.0,1994,NJN,NBA,PG,3,0.0,6.0,1.0,2.3,0.429,0.3,1.3,0.25,0.7,1.0,0.667,0.5,0.7,0.7,1.0,0.0,0.0,0.0,1.0,0.7,0.0,1.3,0.0,3.0,2.273427923763354
6887,wesleda01,David Wesley,1994,2007,182.88,86.1825503,27.0,1998,CHH,NBA,PG,9,9.0,31.7,3.7,9.2,0.398,1.0,2.3,0.429,2.7,6.9,0.387,0.452,1.7,2.3,0.714,0.6,1.4,2.0,6.7,0.8,0.0,2.1,2.8,10.0,9.386976675446482
6888,wesleda01,David Wesley,1994,2007,182.88,86.1825503,29.0,2000,CHH,NBA,PG,4,4.0,38.0,4.0,12.0,0.333,0.8,2.5,0.3,3.3,9.5,0.342,0.365,2.3,2.3,1.0,0.8,2.3,3.0,4.8,2.0,0.0,1.5,4.3,11.0,9.940087662862625
6889,wesleda01,David Wesley,1994,2007,182.88,86.1825503,30.0,2001,CHH,NBA,SG,10,10.0,39.4,6.3,13.4,0.47,1.3,3.3,0.394,5.0,10.1,0.495,0.519,3.1,4.1,0.756,0.4,2.6,3.0,3.9,1.6,0.1,1.4,2.8,17.0,12.647899680604366
6890,wesleda01,David Wesley,1994,2007,182.88,86.1825503,31.0,2002,CHH,NBA,SG,9,9.0,41.9,5.8,14.3,0.403,1.9,4.2,0.447,3.9,10.1,0.385,0.469,2.3,2.6,0.913,0.3,1.6,1.9,3.4,1.1,0.2,2.3,3.3,15.8,10.11925111671304
6891,wesleda01,David Wesley,1994,2007,182.88,86.1825503,32.0,2003,NOH,NBA,SG,6,6.0,30.8,4.8,12.0,0.403,2.3,5.7,0.412,2.5,6.3,0.395,0.5,1.2,1.2,1.0,0.2,1.0,1.2,2.2,0.8,0.2,2.5,3.8,13.2,7.174851111490738
6892,wesleda01,David Wesley,1994,2007,182.88,86.1825503,33.0,2004,NOH,NBA,SG,7,7.0,34.7,3.4,10.6,0.324,1.6,4.3,0.367,1.9,6.3,0.295,0.399,2.1,3.0,0.714,0.1,2.1,2.3,2.4,0.7,0.0,2.3,3.0,10.6,5.982118437981889
6893,wesleda01,David Wesley,1994,2007,182.88,86.1825503,34.0,2005,HOU,NBA,SG,7,7.0,40.0,2.7,7.7,0.352,1.4,3.0,0.476,1.3,4.7,0.273,0.444,1.3,1.9,0.692,0.6,2.4,3.0,3.3,1.3,0.1,1.3,2.9,8.1,6.934576511954081
6894,westde01,Delonte West,2005,2012,193.04,81.6466266,21.0,2005,BOS,NBA,SG,7,3.0,16.4,1.6,3.0,0.524,0.7,1.6,0.455,0.9,1.4,0.6,0.643,0.3,0.6,0.5,0.3,1.0,1.3,0.6,1.0,0.1,0.3,2.4,4.1,3.386695953922644
6895,westde01,Delonte West,2005,2012,193.04,81.6466266,24.0,2008,CLE,NBA,PG,13,13.0,34.8,3.4,8.5,0.4,1.4,3.2,0.429,2.0,5.2,0.382,0.482,2.7,3.2,0.854,0.6,2.7,3.3,4.2,1.2,0.5,2.5,3.1,10.8,9.134058375792604
6896,westde01,Delonte West,2005,2012,193.04,81.6466266,25.0,2009,CLE,NBA,SG,14,14.0,42.2,5.2,11.2,0.465,0.9,2.6,0.333,4.4,8.6,0.504,0.503,2.5,3.0,0.833,0.4,3.1,3.5,4.1,1.4,0.5,2.4,2.0,13.8,11.020047332457024
6897,westde01,Delonte West,2005,2012,193.04,81.6466266,26.0,2010,CLE,NBA,SG,11,0.0,24.5,2.5,6.1,0.418,0.3,1.7,0.158,2.3,4.4,0.521,0.44,1.4,1.5,0.938,0.5,1.4,1.9,2.6,0.8,0.3,1.7,1.5,6.7,5.94431310492542
