,Name,From,To,Height,Weight,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
hairsha01 1965,Happy Hairston,1965,1975,6-7,225,22,CIN,NBA,PF,3,,13.0,1.7,6.0,.278,,,,,,,,0.7,1.0,.667,,,6.7,1.0,,,,0.7,4.0
hairsha01 1966,Happy Hairston,1965,1975,6-7,225,23,CIN,NBA,PF,5,,30.0,5.0,12.4,.403,,,,,,,,5.4,7.6,.711,,,7.4,0.0,,,,4.0,15.4
hairsha01 1967,Happy Hairston,1965,1975,6-7,225,24,CIN,NBA,SF,4,,35.0,7.0,13.5,.519,,,,,,,,2.0,3.8,.533,,,6.8,1.5,,,,3.8,16.0
hairsha01 1968,Happy Hairston,1965,1975,6-7,225,25,DET,NBA,PF,6,,24.8,4.8,11.8,.408,,,,,,,,2.0,3.3,.600,,,6.2,1.2,,,,3.7,11.7
hairsha01 1970,Happy Hairston,1965,1975,6-7,225,27,LAL,NBA,PF,16,,18.5,2.9,6.8,.435,,,,,,,,1.5,2.2,.686,,,4.8,1.3,,,,1.9,7.4
hairsha01 1971,Happy Hairston,1965,1975,6-7,225,28,LAL,NBA,PF,12,,39.3,6.9,13.7,.506,,,,,,,,3.2,4.2,.760,,,9.1,2.8,,,,3.4,17.0
hairsha01 1972,Happy Hairston,1965,1975,6-7,225,29,LAL,NBA,PF,15,,38.5,4.9,11.2,.440,,,,,,,,3.6,4.5,.794,,,13.1,2.1,,,,2.9,13.5
hairsha01 1973,Happy Hairston,1965,1975,6-7,225,30,LAL,NBA,PF,3,,8.7,0.3,3.0,.111,,,,,,,,2.0,2.7,.750,,,1.3,0.3,,,,0.7,2.7
hairsha01 1974,Happy Hairston,1965,1975,6-7,225,31,LAL,NBA,PF,5,,34.4,3.0,7.2,.417,,,,,,,,3.2,3.6,.889,3.0,7.4,10.4,3.8,1.0,0.2,,1.6,9.2
hairspj02 2016,P.J. Hairston,2015,2016,6-6,230,23,MEM,NBA,SF,2,0,11.0,1.0,3.0,.333,0.5,1.5,.333,0.5,1.5,.333,.417,0.0,1.0,.000,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,2.5
halebr01 1950,Bruce Hale,1949,1951,6-1,170,31,INO,NBA,,6,,,2.3,6.7,.350,,,,,,,,2.5,2.8,.882,,,,2.8,,,,1.8,7.2
halebr01 1951,Bruce Hale,1949,1951,6-1,170,32,INO,NBA,,1,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0
haislma01 2003,Marcus Haislip,2003,2010,6-10,230,22,MIL,NBA,PF,2,1,12.0,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,1.0,2.0,.500,1.0,1.0,2.0,1.0,1.0,0.5,0.5,2.5,5.0
haislma01 2004,Marcus Haislip,2003,2010,6-10,230,23,MIL,NBA,PF,1,0,3.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
halbrsw01 1961,Swede Halbrook,1961,1962,7-3,235,28,SYR,NBA,C,8,,21.5,3.0,9.0,.333,,,,,,,,1.8,2.5,.700,,,10.4,1.5,,,,2.6,7.8
halbech01 1947,Chick Halbert,1947,1951,6-9,225,27,CHS,BAA,,11,,,4.5,18.0,.253,,,,,,,,5.0,8.3,.604,,,,0.3,,,,2.9,14.1
halbech01 1948,Chick Halbert,1947,1951,6-9,225,28,PHW,BAA,,13,,,3.8,14.2,.265,,,,,,,,3.9,6.5,.607,,,,0.3,,,,3.5,11.5
halbech01 1950,Chick Halbert,1947,1951,6-9,225,30,WSC,NBA,,2,,,3.5,8.0,.438,,,,,,,,2.5,4.5,.556,,,,1.5,,,,3.5,9.5
haleha01 1968,Hal Hale,1968,1968,6-1,180,22,HSM,ABA,PG,3,,34.3,2.0,5.3,.375,1.0,1.0,1.000,1.0,4.3,.231,.469,2.3,2.3,1.000,,,2.7,1.0,,,0.0,3.3,7.3
haleyja01 1989,Jack Haley,1989,1998,6-10,240,25,CHI,NBA,PF,5,0,1.4,0.4,0.6,.667,0.0,0.0,,0.4,0.6,.667,.667,0.2,0.4,.500,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.4,1.0
haleyja01 1992,Jack Haley,1989,1998,6-10,240,28,LAL,NBA,C,2,0,6.0,0.5,2.0,.250,0.0,0.0,,0.5,2.0,.250,.250,0.0,0.0,,0.5,0.0,0.5,0.5,0.0,0.0,0.0,1.5,1.0
haleyja01 1994,Jack Haley,1989,1998,6-10,240,30,SAS,NBA,PF,3,0,3.7,1.3,2.7,.500,0.0,0.0,,1.3,2.7,.500,.500,1.7,2.0,.833,1.0,1.3,2.3,0.7,0.0,0.0,0.0,1.0,4.3
haleyja01 1995,Jack Haley,1989,1998,6-10,240,31,SAS,NBA,PF,4,0,3.3,0.3,1.8,.143,0.0,0.0,,0.3,1.8,.143,.143,0.3,0.5,.500,0.5,1.0,1.5,0.0,0.0,0.3,0.3,0.5,0.8
halldo01 2020,Donta Hall,2020,2021,6-9,232,22,BRK,NBA,C,3,0,6.7,1.0,1.7,.600,0.0,0.0,,1.0,1.7,.600,.600,0.3,1.3,.250,1.0,0.7,1.7,0.0,0.0,0.7,0.3,0.3,2.3
hallije01 1972,Jeff Halliburton,1972,1973,6-5,193,22,ATL,NBA,SG,1,,2.0,0.0,1.0,.000,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0
halimsh01 1969,Shaler Halimon,1969,1973,6-5,199,23,PHI,NBA,SF,1,,2.0,1.0,2.0,.500,,,,1.0,2.0,.500,.500,0.0,0.0,,,,0.0,0.0,,,,0.0,2.0
halimsh01 1970,Shaler Halimon,1969,1973,6-5,199,24,CHI,NBA,SG,5,,21.2,4.2,12.2,.344,,,,4.2,12.2,.344,.344,0.4,0.6,.667,,,4.0,3.6,,,,2.6,8.8
halimsh01 1972,Shaler Halimon,1969,1973,6-5,199,26,DLC,ABA,SF,4,,13.8,2.3,4.3,.529,0.0,0.0,,2.3,4.3,.529,.529,1.0,1.8,.571,,,3.3,1.8,,,1.3,1.0,5.5
hamiljo01 1971,Joe Hamilton,1971,1976,5-10,160,22,TEX,ABA,PG,4,,25.3,4.3,13.0,.327,0.8,2.5,.300,3.5,10.5,.333,.356,1.8,1.8,1.000,2.0,3.0,5.0,3.8,,,1.0,2.5,11.0
hamiljo01 1972,Joe Hamilton,1971,1976,5-10,160,23,DLC,ABA,PG,4,,22.3,3.8,11.5,.326,0.8,3.3,.231,3.0,8.3,.364,.359,1.8,2.3,.778,,,2.8,3.3,,,0.5,2.5,10.0
hamiljo01 1974,Joe Hamilton,1971,1976,5-10,160,25,KEN,ABA,PG,7,,18.4,2.3,6.7,.340,0.9,2.0,.429,1.4,4.7,.303,.404,1.9,2.4,.765,0.4,2.9,3.3,3.0,0.6,0.0,2.4,2.6,7.3
hamda01 2000,Darvin Ham,1997,2005,6-7,220,26,MIL,NBA,SF,5,5,28.8,2.2,3.4,.647,0.0,0.2,.000,2.2,3.2,.688,.647,0.6,1.8,.333,3.4,2.4,5.8,1.4,0.2,1.6,1.4,4.4,5.0
hamda01 2001,Darvin Ham,1997,2005,6-7,220,27,MIL,NBA,SF,14,6,9.4,0.6,1.1,.600,0.0,0.0,,0.6,1.1,.600,.600,0.8,1.4,.550,0.7,0.6,1.4,0.4,0.3,0.5,0.4,2.2,2.1
hamda01 2004,Darvin Ham,1997,2005,6-7,220,30,DET,NBA,SF,22,0,4.9,0.4,0.7,.500,0.0,0.0,.000,0.4,0.7,.533,.500,0.0,0.0,,0.4,0.3,0.6,0.0,0.1,0.2,0.4,0.9,0.7
hamda01 2005,Darvin Ham,1997,2005,6-7,220,31,DET,NBA,SF,14,0,1.7,0.1,0.2,.333,0.0,0.0,,0.1,0.2,.333,.333,0.1,0.1,1.000,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.3
hamilde01 1968,Dennis Hamilton,1968,1971,6-8,210,23,LAL,NBA,PF,2,,5.5,0.5,1.5,.333,,,,0.5,1.5,.333,.333,0.0,0.0,,,,1.0,0.5,,,,0.0,1.0
hamiljo02 2012,Jordan Hamilton,2012,2016,6-7,220,21,DEN,NBA,SF,2,0,2.5,1.0,1.5,.667,0.0,0.0,,1.0,1.5,.667,.667,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,2.0
hamiljo02 2013,Jordan Hamilton,2012,2016,6-7,220,22,DEN,NBA,SF,1,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hamilst01 1959,Steve Hamilton,1959,1960,6-6,190,24,MNL,NBA,SF,10,,8.7,1.2,4.3,.279,,,,,,,,0.8,1.0,.800,,,3.5,0.5,,,,1.4,3.2
hamilri01 2003,Richard Hamilton,2000,2013,6-6,185,24,DET,NBA,SG,17,17,38.8,7.9,17.8,.442,0.5,1.6,.333,7.4,16.2,.453,.457,6.2,6.9,.906,1.1,2.8,3.9,2.6,0.8,0.1,3.4,3.0,22.5
hamilri01 2004,Richard Hamilton,2000,2013,6-6,185,25,DET,NBA,SG,23,23,40.2,7.9,17.6,.447,0.7,1.7,.385,7.2,15.9,.454,.465,5.1,6.0,.848,1.4,3.2,4.6,4.2,1.2,0.0,3.1,3.1,21.5
hamilri01 2005,Richard Hamilton,2000,2013,6-6,185,26,DET,NBA,SG,25,25,43.2,7.9,17.5,.453,0.4,1.4,.294,7.5,16.1,.467,.465,3.8,4.8,.798,1.2,3.1,4.3,4.3,0.8,0.1,3.1,3.2,20.0
hamilri01 2006,Richard Hamilton,2000,2013,6-6,185,27,DET,NBA,SG,18,18,38.3,7.1,17.2,.413,0.8,2.2,.350,6.3,15.0,.422,.435,5.4,6.3,.851,0.9,2.0,2.9,2.7,0.9,0.3,2.2,3.3,20.4
hamilri01 2007,Richard Hamilton,2000,2013,6-6,185,28,DET,NBA,SG,16,16,39.9,6.8,15.8,.429,0.5,1.3,.400,6.3,14.5,.431,.444,4.8,5.6,.865,2.0,2.3,4.3,3.8,0.9,0.1,1.9,3.8,18.8
hamilri01 2008,Richard Hamilton,2000,2013,6-6,185,29,DET,NBA,SG,17,17,38.6,7.9,16.8,.470,0.5,1.5,.308,7.4,15.2,.486,.484,5.4,5.9,.911,1.1,3.1,4.2,3.9,1.4,0.5,2.8,2.8,21.6
hamilri01 2009,Richard Hamilton,2000,2013,6-6,185,30,DET,NBA,SG,4,4,38.5,5.3,14.8,.356,0.5,2.5,.200,4.8,12.3,.388,.373,2.3,2.5,.900,0.5,2.3,2.8,5.0,1.3,0.3,2.5,3.0,13.3
hamilri01 2012,Richard Hamilton,2000,2013,6-6,185,33,CHI,NBA,SG,6,6,28.5,4.8,11.7,.414,0.3,1.0,.333,4.5,10.7,.422,.429,3.0,3.7,.818,1.3,1.8,3.2,3.0,0.2,0.0,1.3,2.5,13.0
hamilri01 2013,Richard Hamilton,2000,2013,6-6,185,34,CHI,NBA,SG,4,0,17.0,2.5,6.8,.370,0.8,1.8,.429,1.8,5.0,.350,.426,0.8,1.0,.750,0.0,0.8,0.8,1.3,0.3,0.5,1.3,1.3,6.5
hammoju01 1968,Julian Hammond,1968,1972,6-5,205,24,DNR,ABA,SF,5,,30.6,4.4,7.6,.579,0.0,0.0,,4.4,7.6,.579,.579,3.2,4.8,.667,,,5.6,1.6,,,2.2,3.4,12.0
hammoju01 1969,Julian Hammond,1968,1972,6-5,205,25,DNR,ABA,SF,7,,27.3,4.7,9.1,.516,0.0,0.0,,4.7,9.1,.516,.516,3.6,4.7,.758,,,7.1,0.6,,,2.0,3.7,13.0
hammoju01 1970,Julian Hammond,1968,1972,6-5,205,26,DNR,ABA,SF,12,,32.9,7.1,14.2,.500,0.0,0.0,,7.1,14.2,.500,.500,1.8,3.0,.611,,,6.6,2.8,,,2.3,4.1,16.0
hammoto01 1994,Tom Hammonds,1990,2001,6-9,215,26,DEN,NBA,PF,8,0,6.1,0.3,1.1,.222,0.0,0.0,,0.3,1.1,.222,.222,0.6,0.8,.833,0.6,1.0,1.6,0.3,0.0,0.0,0.1,0.8,1.1
hammoto01 1995,Tom Hammonds,1990,2001,6-9,215,27,DEN,NBA,PF,3,0,14.7,3.0,4.7,.643,0.0,0.0,,3.0,4.7,.643,.643,0.7,2.0,.333,1.0,1.3,2.3,0.3,0.0,0.7,1.3,4.0,6.7
hammoto01 1998,Tom Hammonds,1990,2001,6-9,215,30,MIN,NBA,PF,5,1,22.6,2.4,5.6,.429,0.0,0.0,,2.4,5.6,.429,.429,2.4,3.2,.750,2.0,2.4,4.4,0.4,0.0,0.2,0.8,3.6,7.2
hammoto01 1999,Tom Hammonds,1990,2001,6-9,215,31,MIN,NBA,PF,4,0,4.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,1.0,1.000,0.0,0.5,0.5,0.0,0.0,0.0,0.3,1.0,1.0
hammoto01 2000,Tom Hammonds,1990,2001,6-9,215,32,MIN,NBA,PF,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hankice01 1947,Cecil Hankins,1947,1948,6-1,175,25,STB,BAA,,2,,,1.0,3.5,.286,,,,,,,,0.5,1.0,.500,,,,0.0,,,,0.5,2.5
hamoojo01 1968,Joe Hamood,1968,1968,6-0,180,24,HSM,ABA,SG,3,,14.0,1.0,5.7,.176,0.0,1.0,.000,1.0,4.7,.214,.176,0.3,0.7,.500,,,1.7,0.7,,,0.3,2.7,2.3
hankiph01 1974,Phil Hankinson,1974,1975,6-8,195,22,BOS,NBA,SF,2,,2.5,1.0,2.0,.500,,,,,,,,1.0,1.0,1.000,0.0,0.5,0.5,0.0,0.0,0.5,,0.0,3.0
hankiph01 1975,Phil Hankinson,1974,1975,6-8,195,23,BOS,NBA,SF,2,,1.5,0.5,1.5,.333,,,,,,,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0
hancoda01 1995,Darrin Hancock,1995,1997,6-7,205,23,CHH,NBA,SF,3,0,6.0,0.7,2.0,.333,0.0,0.0,,0.7,2.0,.333,.333,0.0,0.0,,0.7,0.7,1.3,0.3,0.3,0.0,1.0,1.7,1.3
hancoda01 1997,Darrin Hancock,1995,1997,6-7,205,25,ATL,NBA,SF,6,0,5.5,0.3,0.8,.400,0.0,0.2,.000,0.3,0.7,.500,.400,0.0,0.5,.000,0.3,0.5,0.8,0.2,0.2,0.2,0.2,0.8,0.7
hansbbe01 2013,Ben Hansbrough,2013,2013,6-3,203,25,IND,NBA,PG,6,0,3.7,0.0,0.8,.000,0.0,0.5,.000,0.0,0.3,.000,.000,0.0,0.0,,0.2,0.3,0.5,0.5,0.0,0.2,0.3,0.3,0.0
hannual01 1950,Alex Hannum,1950,1957,6-7,210,26,SYR,NBA,PF,11,,,3.5,7.8,.442,,,,,,,,1.5,3.1,.500,,,,0.9,,,,4.5,8.5
hannual01 1951,Alex Hannum,1950,1957,6-7,210,27,SYR,NBA,PF,7,,,2.4,5.6,.436,,,,,,,,1.1,1.4,.800,,,6.7,2.4,,,,5.3,6.0
hannual01 1952,Alex Hannum,1950,1957,6-7,210,28,ROC,NBA,PF,6,,24.3,2.7,7.0,.381,,,,,,,,1.3,2.2,.615,,,4.3,1.3,,,,5.0,6.7
hannual01 1953,Alex Hannum,1950,1957,6-7,210,29,ROC,NBA,PF,3,,17.3,1.3,3.3,.400,,,,,,,,1.0,2.7,.375,,,1.3,0.7,,,,5.3,3.7
hannual01 1954,Alex Hannum,1950,1957,6-7,210,30,ROC,NBA,PF,6,,17.8,2.0,4.8,.414,,,,,,,,2.5,4.0,.625,,,3.7,0.8,,,,4.7,6.5
hannual01 1956,Alex Hannum,1950,1957,6-7,210,32,STL,NBA,PF,8,,19.9,2.6,8.3,.318,,,,,,,,2.4,4.4,.543,,,3.6,1.3,,,,4.5,7.6
hannual01 1957,Alex Hannum,1950,1957,6-7,210,33,STL,NBA,PF,2,,3.0,0.0,1.0,.000,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,1.0,0.0
hansbty01 2011,Tyler Hansbrough,2010,2016,6-9,250,25,IND,NBA,PF,5,5,32.8,4.0,12.0,.333,0.0,0.0,,4.0,12.0,.333,.333,3.2,3.6,.889,2.6,2.8,5.4,1.0,1.2,0.0,1.8,2.6,11.2
hansbty01 2012,Tyler Hansbrough,2010,2016,6-9,250,26,IND,NBA,PF,11,0,14.9,1.5,4.5,.340,0.0,0.0,,1.5,4.5,.340,.340,1.3,1.9,.667,1.1,2.1,3.2,0.5,0.5,0.3,0.7,2.0,4.4
hansbty01 2013,Tyler Hansbrough,2010,2016,6-9,250,27,IND,NBA,PF,19,0,12.7,1.4,3.3,.419,0.0,0.0,,1.4,3.3,.419,.419,1.4,2.3,.591,1.9,1.3,3.2,0.3,0.3,0.0,0.8,2.2,4.1
hansbty01 2014,Tyler Hansbrough,2010,2016,6-9,250,28,TOR,NBA,PF,3,0,9.7,0.3,1.0,.333,0.0,0.0,,0.3,1.0,.333,.333,1.7,2.0,.833,0.7,1.3,2.0,0.3,0.0,0.0,0.7,2.7,2.3
hansbty01 2015,Tyler Hansbrough,2010,2016,6-9,250,29,TOR,NBA,PF,4,2,12.0,0.3,1.3,.200,0.0,0.0,,0.3,1.3,.200,.200,0.8,1.0,.750,0.3,1.3,1.5,0.8,0.5,0.3,0.5,2.0,1.3
hansbty01 2016,Tyler Hansbrough,2010,2016,6-9,250,30,CHO,NBA,PF,2,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hansebo01 1984,Bob Hansen,1984,1992,6-6,190,23,UTA,NBA,SG,4,,4.5,0.5,1.8,.286,0.5,0.8,.667,0.0,1.0,.000,.429,0.3,0.5,.500,0.5,1.3,1.8,0.5,0.0,0.0,0.5,1.0,1.8
hansebo01 1985,Bob Hansen,1984,1992,6-6,190,24,UTA,NBA,SG,8,0,4.3,0.3,1.0,.250,0.0,0.0,,0.3,1.0,.250,.250,0.6,1.0,.625,0.1,0.4,0.5,0.8,0.4,0.0,0.4,0.8,1.1
hansebo01 1986,Bob Hansen,1984,1992,6-6,190,25,UTA,NBA,SG,4,4,35.0,6.8,9.3,.730,0.5,0.8,.667,6.3,8.5,.735,.757,2.0,2.3,.889,2.5,2.0,4.5,2.8,0.8,0.3,1.8,4.0,16.0
hansebo01 1987,Bob Hansen,1984,1992,6-6,190,26,UTA,NBA,SG,5,5,28.4,4.2,9.8,.429,0.4,1.0,.400,3.8,8.8,.432,.449,3.4,4.0,.850,0.6,2.4,3.0,2.2,0.2,0.2,1.4,2.8,12.2
hansebo01 1988,Bob Hansen,1984,1992,6-6,190,27,UTA,NBA,SG,11,11,37.1,6.1,12.3,.496,1.7,3.3,.528,4.4,9.0,.485,.567,1.5,2.0,.727,0.7,2.8,3.5,2.9,0.6,0.0,2.5,3.8,15.4
hansebo01 1989,Bob Hansen,1984,1992,6-6,190,28,UTA,NBA,SG,3,3,41.0,3.7,11.7,.314,1.0,3.0,.333,2.7,8.7,.308,.357,2.7,3.3,.800,1.7,4.0,5.7,1.3,0.3,0.7,2.0,5.0,11.0
hansebo01 1990,Bob Hansen,1984,1992,6-6,190,29,UTA,NBA,SG,5,5,29.0,4.2,8.6,.488,1.4,2.8,.500,2.8,5.8,.483,.570,0.2,0.8,.250,1.4,1.4,2.8,1.0,0.6,0.0,0.8,2.8,10.0
hansebo01 1992,Bob Hansen,1984,1992,6-6,190,31,CHI,NBA,SG,9,0,7.7,1.0,2.4,.409,0.3,0.7,.500,0.7,1.8,.375,.477,0.1,0.3,.333,0.4,0.6,1.0,1.1,0.1,0.0,0.2,1.1,2.4
hanzlbi01 1982,Bill Hanzlik,1981,1990,6-7,185,24,SEA,NBA,SF,8,,25.4,2.0,4.3,.471,0.0,0.1,.000,2.0,4.1,.485,.471,2.5,2.8,.909,1.3,2.8,4.0,2.5,0.8,0.6,1.6,3.3,6.5
hanzlbi01 1983,Bill Hanzlik,1981,1990,6-7,185,25,DEN,NBA,SF,8,,19.6,2.5,6.3,.400,0.0,0.3,.000,2.5,6.0,.417,.400,1.8,2.1,.824,0.4,2.8,3.1,2.6,0.8,0.6,1.4,3.3,6.8
hanzlbi01 1984,Bill Hanzlik,1981,1990,6-7,185,26,DEN,NBA,SF,5,,16.4,2.2,3.8,.579,0.0,0.4,.000,2.2,3.4,.647,.579,1.2,1.2,1.000,0.6,1.0,1.6,4.2,0.6,0.0,1.2,3.2,5.6
hanzlbi01 1985,Bill Hanzlik,1981,1990,6-7,185,27,DEN,NBA,SF,15,0,20.7,3.0,6.1,.489,0.0,0.1,.000,3.0,6.1,.495,.489,2.0,2.7,.732,1.6,1.5,3.1,2.2,0.9,0.4,1.5,3.8,8.0
hanzlbi01 1986,Bill Hanzlik,1981,1990,6-7,185,28,DEN,NBA,SF,6,0,17.0,2.5,4.7,.536,0.2,0.2,1.000,2.3,4.5,.519,.554,2.2,2.7,.813,0.3,0.7,1.0,3.2,0.2,0.2,1.2,2.0,7.3
hanzlbi01 1987,Bill Hanzlik,1981,1990,6-7,185,29,DEN,NBA,PF,3,2,25.3,2.7,8.3,.320,0.0,0.7,.000,2.7,7.7,.348,.320,3.0,5.0,.600,0.0,2.0,2.0,2.3,1.3,0.0,1.0,2.0,8.3
hanzlbi01 1988,Bill Hanzlik,1981,1990,6-7,185,30,DEN,NBA,SF,11,0,19.3,1.8,5.1,.357,0.0,0.7,.000,1.8,4.4,.417,.357,1.6,2.4,.692,1.0,1.6,2.6,2.4,0.5,0.8,1.3,3.6,5.3
hanzlbi01 1989,Bill Hanzlik,1981,1990,6-7,185,31,DEN,NBA,PF,3,3,35.3,4.7,11.0,.424,1.0,2.0,.500,3.7,9.0,.407,.470,2.3,4.0,.583,2.0,4.7,6.7,3.0,1.7,0.3,0.7,4.3,12.7
hanzlbi01 1990,Bill Hanzlik,1981,1990,6-7,185,32,DEN,NBA,PF,3,0,26.3,1.7,5.7,.294,0.3,1.0,.333,1.3,4.7,.286,.324,3.3,3.3,1.000,1.7,1.7,3.3,3.7,1.7,0.7,0.7,4.3,7.0
hardati02 2016,Tim Hardaway Jr.,2014,2022,6-5,205,23,ATL,NBA,SG,9,0,9.7,0.8,2.9,.269,0.2,1.6,.143,0.6,1.3,.417,.308,0.4,0.7,.667,0.0,1.0,1.0,0.8,0.0,0.1,0.3,0.2,2.2
hardati02 2017,Tim Hardaway Jr.,2014,2022,6-5,205,24,ATL,NBA,SG,6,6,33.3,4.5,13.7,.329,1.8,7.0,.262,2.7,6.7,.400,.396,2.0,3.2,.632,0.5,2.2,2.7,1.2,0.5,0.0,1.7,2.2,12.8
hardati02 2020,Tim Hardaway Jr.,2014,2022,6-5,205,27,DAL,NBA,SG,6,6,34.0,6.7,15.8,.421,3.2,9.0,.352,3.5,6.8,.512,.521,1.3,1.8,.727,0.5,3.0,3.5,1.8,0.3,0.0,0.5,2.7,17.8
hardati02 2021,Tim Hardaway Jr.,2014,2022,6-5,205,28,DAL,NBA,SG,7,7,37.4,6.0,14.4,.416,3.3,8.1,.404,2.7,6.3,.432,.530,1.7,2.3,.750,0.7,2.6,3.3,1.4,0.4,0.0,0.9,2.4,17.0
hardaan01 1994,Anfernee Hardaway,1994,2008,6-7,195,22,ORL,NBA,PG,3,3,44.3,7.3,16.7,.440,1.7,3.7,.455,5.7,13.0,.436,.490,2.3,3.3,.700,2.7,4.0,6.7,7.0,1.7,2.0,6.7,3.3,18.7
hardaan01 1995,Anfernee Hardaway,1994,2008,6-7,195,23,ORL,NBA,PG,21,21,40.4,6.9,14.5,.472,1.9,4.7,.404,5.0,9.8,.505,.538,4.0,5.3,.757,1.4,2.3,3.8,7.7,1.9,0.7,3.5,3.3,19.6
hardaan01 1996,Anfernee Hardaway,1994,2008,6-7,195,24,ORL,NBA,PG,12,12,39.4,8.4,18.1,.465,1.7,4.6,.364,6.8,13.5,.500,.512,4.8,6.5,.744,1.7,3.0,4.7,6.0,1.7,0.3,2.2,2.3,23.3
hardaan01 1997,Anfernee Hardaway,1994,2008,6-7,195,25,ORL,NBA,PG,5,5,44.0,10.4,22.2,.468,2.2,6.0,.367,8.2,16.2,.506,.518,8.0,10.8,.741,1.4,4.6,6.0,3.4,2.4,1.4,1.8,2.8,31.0
hardaan01 1999,Anfernee Hardaway,1994,2008,6-7,195,27,ORL,NBA,SG,4,4,41.8,5.0,14.3,.351,1.5,3.3,.462,3.5,11.0,.318,.404,7.5,9.8,.769,2.3,2.8,5.0,5.5,2.3,0.3,3.0,3.3,19.0
hardaan01 2000,Anfernee Hardaway,1994,2008,6-7,195,28,PHO,NBA,SG,9,9,42.9,7.4,16.1,.462,0.6,2.1,.263,6.9,14.0,.492,.479,4.9,6.9,.710,1.6,3.3,4.9,5.7,1.6,1.0,2.8,3.2,20.3
hardaan01 2003,Anfernee Hardaway,1994,2008,6-7,195,31,PHO,NBA,SG,6,6,40.7,4.5,11.7,.386,1.5,4.2,.360,3.0,7.5,.400,.450,2.2,3.0,.722,1.5,4.5,6.0,4.3,2.2,0.8,2.2,4.3,12.7
hardaan01 2004,Anfernee Hardaway,1994,2008,6-7,195,32,NYK,NBA,SG,4,3,42.0,5.8,15.8,.365,1.3,3.5,.357,4.5,12.3,.367,.405,3.8,4.5,.833,1.0,3.5,4.5,5.8,1.5,0.3,2.5,2.0,16.5
hardnch01 1965,Charlie Hardnett,1963,1965,6-8,225,26,BAL,NBA,PF,5,,4.4,0.8,2.0,.400,,,,,,,,0.4,1.0,.400,,,1.2,0.4,,,,0.4,2.0
hardati01 1991,Tim Hardaway,1990,2003,6-0,175,24,GSW,NBA,PG,9,9,44.0,10.0,20.6,.486,1.9,5.3,.354,8.1,15.2,.533,.532,3.3,4.2,.789,0.6,3.1,3.7,11.2,3.1,0.8,2.8,2.4,25.2
hardati01 1992,Tim Hardaway,1990,2003,6-0,175,25,GSW,NBA,PG,4,4,44.0,8.0,20.0,.400,2.5,7.3,.345,5.5,12.8,.431,.463,6.0,9.3,.649,1.5,2.3,3.8,7.3,3.3,0.0,3.5,3.5,24.5
hardati01 1996,Tim Hardaway,1990,2003,6-0,175,29,MIA,NBA,PG,3,3,36.7,6.7,14.3,.465,2.7,7.3,.364,4.0,7.0,.571,.558,1.7,2.3,.714,0.3,1.3,1.7,5.7,1.0,0.0,5.0,3.3,17.7
hardati01 1997,Tim Hardaway,1990,2003,6-0,175,30,MIA,NBA,PG,17,17,41.2,6.1,16.9,.359,2.5,7.9,.313,3.6,9.0,.399,.432,4.1,5.2,.795,0.8,3.3,4.1,7.0,1.6,0.1,3.1,2.2,18.7
hardati01 1998,Tim Hardaway,1990,2003,6-0,175,31,MIA,NBA,PG,5,5,44.4,8.4,18.8,.447,3.4,7.8,.436,5.0,11.0,.455,.537,5.8,7.4,.784,0.6,2.8,3.4,6.6,1.2,0.0,3.6,1.8,26.0
hardati01 1999,Tim Hardaway,1990,2003,6-0,175,32,MIA,NBA,PG,5,5,36.4,3.0,11.2,.268,1.0,5.0,.200,2.0,6.2,.323,.313,2.0,3.2,.625,0.6,2.2,2.8,6.4,1.0,0.2,3.6,2.8,9.0
