,Name,From,To,Height,Weight,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
anderwi01 1991,Willie Anderson,1989,1997,6-7,190,24,SAS,NBA,SG,4,4,39.8,8.3,17.0,.485,0.5,2.5,.200,7.8,14.5,.534,.500,2.0,3.3,.615,0.5,4.3,4.8,4.8,1.5,0.5,3.3,4.0,19.0
anderwi01 1993,Willie Anderson,1989,1997,6-7,190,26,SAS,NBA,SG,10,0,21.9,3.7,8.2,.451,0.6,1.1,.545,3.1,7.1,.437,.488,1.5,1.7,.882,0.4,1.9,2.3,2.8,0.9,0.2,1.2,2.3,9.5
anderwi01 1994,Willie Anderson,1989,1997,6-7,190,27,SAS,NBA,SG,4,4,26.5,3.5,9.3,.378,0.3,0.3,1.000,3.3,9.0,.361,.392,1.0,1.8,.571,0.8,1.3,2.0,3.0,1.3,0.5,1.0,1.8,8.3
anderwi01 1995,Willie Anderson,1989,1997,6-7,190,28,SAS,NBA,SG,11,0,8.8,0.8,1.8,.450,0.0,0.1,.000,0.8,1.7,.474,.450,0.2,0.3,.667,0.5,0.6,1.1,0.9,0.5,0.0,0.7,1.1,1.8
anderwi01 1996,Willie Anderson,1989,1997,6-7,190,29,NYK,NBA,SG,4,0,16.0,1.8,5.5,.318,0.3,1.5,.167,1.5,4.0,.375,.341,1.5,1.8,.857,0.5,1.8,2.3,0.3,1.0,0.0,1.5,2.5,5.3
anderwi01 1997,Willie Anderson,1989,1997,6-7,190,30,MIA,NBA,SG,9,0,13.3,1.2,3.3,.367,0.2,0.9,.250,1.0,2.4,.409,.400,1.0,1.1,.900,0.2,1.7,1.9,0.6,0.4,0.2,1.3,2.2,3.7
andersh01 1997,Shandon Anderson,1997,2006,6-6,208,23,UTA,NBA,SG,18,0,16.4,1.6,3.7,.439,0.3,0.7,.417,1.3,3.0,.444,.477,1.1,1.6,.714,1.1,1.6,2.7,0.7,0.6,0.1,0.7,1.6,4.6
andersh01 1998,Shandon Anderson,1997,2006,6-6,208,24,UTA,NBA,SG,20,0,18.9,2.7,5.2,.515,0.2,0.6,.273,2.5,4.6,.543,.529,1.3,1.9,.676,1.3,1.9,3.2,1.0,0.3,0.1,1.5,1.5,6.7
andersh01 1999,Shandon Anderson,1997,2006,6-6,208,25,UTA,NBA,SG,11,0,27.0,3.4,7.0,.481,0.5,1.3,.429,2.8,5.7,.492,.519,2.2,3.1,.706,0.7,3.0,3.7,1.2,0.5,0.3,1.3,3.1,9.5
andersh01 2004,Shandon Anderson,1997,2006,6-6,208,30,NYK,NBA,SG,4,4,29.3,1.8,6.8,.259,0.5,1.8,.286,1.3,5.0,.250,.296,0.3,0.5,.500,1.3,1.0,2.3,2.8,1.0,0.3,2.0,4.8,4.3
andersh01 2005,Shandon Anderson,1997,2006,6-6,208,31,MIA,NBA,SF,8,0,12.1,0.4,1.5,.250,0.0,0.1,.000,0.4,1.4,.273,.250,0.3,0.3,1.000,0.4,2.0,2.4,1.0,0.6,0.0,0.8,1.3,1.0
andersh01 2006,Shandon Anderson,1997,2006,6-6,208,32,MIA,NBA,SF,13,0,6.9,0.3,1.0,.308,0.1,0.2,.333,0.2,0.8,.300,.346,0.3,0.5,.667,0.2,0.7,0.9,0.3,0.0,0.1,0.5,0.6,1.0
antetth01 2021,Thanasis Antetokounmpo,2016,2022,6-6,219,28,MIL,NBA,SF,13,0,3.5,0.2,0.5,.286,0.0,0.0,,0.2,0.5,.286,.286,0.4,0.5,.833,0.2,0.5,0.8,0.2,0.4,0.2,0.2,0.9,0.7
antetgi01 2015,Giannis Antetokounmpo,2014,2022,6-11,242,20,MIL,NBA,SG,6,6,33.5,4.3,11.8,.366,0.0,0.2,.000,4.3,11.7,.371,.366,2.8,3.8,.739,2.0,5.0,7.0,2.7,0.5,1.5,1.8,3.0,11.5
